Match Date,Year,Format,Opposition,Venue,Runs,Balls Faced,Batting Strike Rate,Wickets,Overs Bowled,Runs Conceded,Economy,Bowling Strike Rate,Result,Player Name,DOB,Nationality,Playing Role,Batting Style,Bowling Style,Biography
2023-08-03,2023,T20I,Pakistan,Away,0,32,0.0,0,0.0,0,0.0,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-08-10,2023,T20I,Australia,Away,60,55,109.09090909090908,0,0.0,0,0.0,0.0,Won,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-08-17,2023,ODI,Pakistan,Away,7,25,28.000000000000004,0,3.0,23,7.666666666666667,0.0,Won,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-08-25,2023,T20I,West Indies,Home,41,44,93.18181818181817,0,1.9,17,8.947368421052632,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-09-01,2023,ODI,West Indies,Home,26,5,520.0,0,0.0,0,0.0,0.0,Won,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-09-09,2023,ODI,Sri Lanka,Home,102,41,248.78048780487805,0,0.0,0,0.0,0.0,Won,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-09-16,2023,ODI,England,Away,18,33,54.54545454545454,0,0.0,0,0.0,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-09-24,2023,T20I,South Africa,Away,61,57,107.01754385964912,0,0.0,0,0.0,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-10-01,2023,T20I,Australia,Home,70,38,184.21052631578948,0,0.0,0,0.0,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-10-09,2023,ODI,West Indies,Home,17,38,44.73684210526316,0,0.0,0,0.0,0.0,Won,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-10-16,2023,T20I,Australia,Away,70,35,200.0,0,0.0,0,0.0,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-10-24,2023,ODI,South Africa,Away,70,22,318.1818181818182,0,3.6,19,5.277777777777778,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-10-31,2023,ODI,England,Home,42,18,233.33333333333334,0,0.0,0,0.0,0.0,Won,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-11-08,2023,T20I,West Indies,Away,70,22,318.1818181818182,0,0.0,0,0.0,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-11-15,2023,T20I,Sri Lanka,Home,30,49,61.224489795918366,0,0.0,0,0.0,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-11-23,2023,ODI,West Indies,Away,11,12,91.66666666666666,0,1.1,9,8.181818181818182,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-11-30,2023,T20I,England,Home,6,18,33.33333333333333,0,0.0,0,0.0,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-12-08,2023,T20I,Bangladesh,Away,48,36,133.33333333333331,0,2.5,13,5.2,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-12-15,2023,ODI,England,Home,26,51,50.98039215686274,0,0.0,0,0.0,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-12-23,2023,T20I,South Africa,Away,35,39,89.74358974358975,0,0.0,0,0.0,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2023-12-30,2023,T20I,Sri Lanka,Home,3,6,50.0,0,0.0,0,0.0,0.0,Won,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2024-01-07,2024,ODI,Australia,Away,32,10,320.0,0,0.0,0,0.0,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2024-01-14,2024,ODI,Sri Lanka,Away,71,57,124.56140350877195,0,1.0,4,4.0,0.0,Won,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2024-01-22,2024,ODI,England,Home,19,28,67.85714285714286,1,3.8,34,8.947368421052632,22.799999999999997,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2024-01-29,2024,T20I,Australia,Home,14,33,42.42424242424242,0,0.0,0,0.0,0.0,Won,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2024-02-06,2024,ODI,Sri Lanka,Away,0,0,0.0,0,0.0,0,0.0,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2024-02-13,2024,ODI,England,Home,47,30,156.66666666666666,0,0.0,0,0.0,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2024-02-21,2024,ODI,England,Home,0,42,0.0,0,2.3,9,3.91304347826087,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2024-02-28,2024,T20I,England,Away,45,8,562.5,0,1.8,16,8.88888888888889,0.0,Won,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2024-03-07,2024,T20I,Bangladesh,Away,0,24,0.0,0,2.7,11,4.0740740740740735,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2024-03-14,2024,T20I,Pakistan,Home,58,29,200.0,0,0.0,0,0.0,0.0,Won,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2024-03-22,2024,T20I,Australia,Away,31,55,56.36363636363636,0,0.0,0,0.0,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2024-03-29,2024,T20I,England,Away,41,35,117.14285714285715,0,0.0,0,0.0,0.0,Won,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2024-04-06,2024,T20I,West Indies,Away,21,36,58.333333333333336,0,0.0,0,0.0,0.0,Won,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2024-04-13,2024,T20I,Bangladesh,Away,68,43,158.13953488372093,0,0.0,0,0.0,0.0,Won,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2024-04-21,2024,ODI,Australia,Home,30,20,150.0,0,3.7,33,8.91891891891892,0.0,Lost,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
2024-04-28,2024,ODI,South Africa,Away,59,43,137.2093023255814,0,0.0,0,0.0,0.0,Won,Tilak Varma,2002-11-08,India,Middle-order Batsman,Left-hand bat,Right-arm off-break,"Namboori Thakur Tilak Varma is an Indian international cricketer who plays for the Indian cricket team. A left-handed batsman and an occasional off-spin bowler, he plays for Hyderabad in domestic cricket and for Mumbai Indians in the Indian Premier League (IPL). He was a member of the Indian team that won the 2023 Asia Cup."
